,star rating,name,review,date,location_code
34,4,Rich Marino,"Selection limited, large quantities but good prices usually.  My go-to place for meat, fish, produce, dairy.  If you are into ""factory foods"" there are plenty but we avoid those for health reasons.  Bargains often found.  Know your prices.",2018-01-01,1
35,4,aleksandra ibrahimi,It's well stocked most of the time. Good selection of food items,2019-01-01,1
36,1,Colleen Robichaud Mountzouros,extremely rude customer service.,2020-01-01,1
37,5,Sandra quartarone,Always stocked.....great products... some organic options also. The team are always helpful and pleasant!,2018-01-01,1
38,1,maureen biggie,"I specifically went there to get Food Saver bags and rolls. Looked everywhere and no Food Saver products at all.
I asked a nice gentleman if they even carry them. His answer was, we sell the Food Saver, (which I did not see) but not the …",2018-01-01,1
39,5,Alethea O'Neal,As soon as something didn't ring in correctly someone was there.  They also have good sales for buying food and household items in bulk for a better price than regular grocery stores.,2019-01-01,1
40,2,joseph frunzo,After my quick visit here I see now I never shop at BJs or bother with their expensive membership for basic things I can get anywhere for less if not the same and BIG GIGANTIC unnecessary sizes I had ONE thing and STILL needed the card for …,2018-01-01,1
41,5,yanbing li,I like to shop in BJ's Wholesale Club because they  have good service.,2019-01-01,1
42,5,Paul Ellis,Found everything we were looking for and easy self checkout.,2019-01-01,1
43,5,Michael Barnes,BJS of Medford Massachusetts is a wonderful store that has a lot of great bargains wholesale prices for the individual and for a person who has their own business I recommend BJ's for total experience for food to retail too entertaining and …,2018-01-01,1
44,5,Phil Goveia,Great prices went at lunch time and it wasn't to busy,2019-01-01,1
45,5,John Chalmere,Great place to get things in bulck,2019-01-01,1
46,5,Salah Alkhallagi,Large place for family shopping. Needs membership to get in there to shop. Family size for safe money.,2018-01-01,1
47,1,jasnewbie,Not good. Cashier failed  to scan item. They won't allow me to leave.  Then was stuck at register while person rechecked thing.  At which point they found the mistake.  Then they gave me two sheets. When back to door and person keep the paper.  At least I got out of there,2019-01-01,1
48,4,Jazz Win,"they have a lot of cookies.
they sell clotheing there.
there prices are the best.
they have great service.",2013-01-01,1
49,3,Christine P,Easy parking. The lines are always ridiculous! Go to the Waltham location if you can.,2018-01-01,1
50,4,mary pefine,"I enjoy shopping at BJ's , they always have what I need at a good price.",2018-01-01,1
51,1,Patricia Santos,"It was very unpleasant  bc one of the manager was search  a women or employees  backpack and another customer told him that wasn't  nice to do it that was a discrimination  the women was dark skin, and after that  some how stated and …",2018-01-01,1
52,5,Anthony Moreschi,Best of the box stores. Beats Costco,2018-01-01,1
53,4,Tommy Vo,Has everything I need just like any other bjs. No complaints.,2016-01-01,1
54,3,j brown,"Good luck finding prices, half of the items have none.",2017-01-01,1
55,4,Love Diva,Ok.. Busy store great customer service,2018-01-01,1
56,5,Rob La Fee,My Wife lives there!!! Good prices Great deals,2019-01-01,1
57,5,Kaylah Morilus,Nice variety of products in food and home good,2018-01-01,1
58,1,Mary Shannon,"Consistently poor staffing patterns, staff that can't answer basic questions, and are rude when they do. Inconsistent availability of merchandise.",2019-01-01,1
59,5,Enso Germain@Gmail.com Germain,I love it I go every week.,2018-01-01,1
60,4,vibert austin,"It was great, but need more customer service",2018-01-01,1
61,4,ThePhilLorenzo,I went in at 4:30 p.m. on the Monday before Christmas and the place was surprisingly empty. Good. No lines.,2018-01-01,1
62,5,Bob Suosso,"Better than Costco for the average home owner,",2019-01-01,1
63,1,Dominga Dejesus,"You can find some good deals on some things
But the optical dept is the far worst I ordered my glasses from there great deal but to wait 3 to 6 weeks for my glasses is unheard of I went to Costco got the same great deal and my glasses came in one week wow I will be going to Costco for now on",2017-01-01,1
64,4,sai U,A little different from the other bjs.  No gas here,2018-01-01,1
65,3,Shawn Cummings,The 1st BJs.  Great selection but the lines are horrid.,2019-01-01,1
66,4,oliver guti,Big line sometimes.. Good quality...,2017-01-01,1
67,4,Sivadevan Kumar,Really good store with lot of options...,2017-01-01,1
68,2,lily lulu,Kadeem should refrain from using his phone while working.,2020-01-01,1
69,3,Karlen The Conservative,No liquor sold here,2019-01-01,1
70,5,Maria Isabel Barbosa,The best place to shop,2019-01-01,1
71,1,kevin D,They so long in their tires,2020-01-01,1
72,1,John Wheeler,Didn’t display the products I was looking for.,2018-01-01,1
73,5,Ivan Popov,Good selection in this store,2019-01-01,1
74,5,James Smith,Quick visit.,2019-01-01,1
75,1,LUIS LAINEZ-ORELLANA,sorry!!  they make poor decision with us the customer/member..i am switching to cosco,2019-01-01,1
76,5,Joel Guerriero,Nice clean club. .,2018-01-01,1
77,4,Sonia,Good customer service.,2018-01-01,1
78,5,Telahun Gebrehiwot,I am extremely satisfied,2018-01-01,1
79,5,Alvin Lu,Fresh produce and good price,2018-01-01,1
80,5,Donna Coakley,Bj is awesome,2019-01-01,1
81,5,Mohit Nasir,Nice,2019-01-01,1
82,5,Pastor Marcos Fabiano,Thanks for everything!,2019-01-01,1
83,3,Michael Nsubuga,Good,2019-01-01,1
84,3,DDC ROCKY,Service is horrible,2019-01-01,1
85,2,James Aguiar,"Waited over 10 minutes for assistance at self checkout, in the end I just went went to wait in line for a regular employee check out. Hire more cash register attendants!",2019-01-01,1
86,4,Alex Hernandez,Awesome,2019-01-01,1
87,2,Daniel Lyons,Ok,2019-01-01,1
88,5,Meron Kassaye,Everything is here.,2019-01-01,1
89,5,Daniel Vaccaro,I was very respected thanks,2018-01-01,1
90,3,Holdy Jacquito,I like,2018-01-01,1
91,5,Marlon Alexandre,Amazing,2018-01-01,1
92,5,Ivan Popov,They got what I was looking for,2019-01-01,1
93,1,Thomas Sellon,Half the people cant speak english.,2018-01-01,1
94,4,LORD TSM,Good items,2019-01-01,1
95,4,Mario Perez,Good,2018-01-01,1
96,5,Carol M,No,2018-01-01,1
97,5,Mariette Dufresne,It's a great experience for me,2019-01-01,1
98,4,Silvio Oreng,Good,2018-01-01,1
99,5,Md Salauddin,I love is going,2018-01-01,1
100,4,Jean Jeune,Fantastic,2018-01-01,1
101,5,Jean Chardin Silencieux,very friendly,2018-01-01,1
102,5,Samuel Beneche,"Had my favorite thing in there, 🎂",2018-01-01,1
103,4,Irlande Vales,Saving money,2018-01-01,1
104,5,Mohamed Abdelfattah,Good business,2018-01-01,1
105,5,Cheryl Hall,Prices variety of different things quantity.,2018-01-01,1
106,5,Bayoan Martinez-Yung,"This place was remodeled, but everything else looks the same.",2018-01-01,1
107,5,aditi chaudhari,All products,2018-01-01,1
108,1,Kashid Rome,Lines are slow not good!,2018-01-01,1
109,5,Manat Kumar,Love it.,2018-01-01,1
110,5,Isaac Chery,Awesome,2018-01-01,1
111,5,Meagan McGinley,Great!,2018-01-01,1
112,2,Tony li,"its cheap, but comparing with Costco, I find it much unpleasant with the store decoration and set up",2018-01-01,1
113,5,Bert Baez,fast service,2018-01-01,1
114,1,saadat khan,Not a courteous place at all!,2018-01-01,1
115,5,Ronald Santos,Good place,2018-01-01,1
116,4,Mayvorly Ramirez,Affordable,2018-01-01,1
117,4,Maria Aleo,Not to busy,2018-01-01,1
118,5,Jean Tancyl,You can save alot of money when you use coupons.,2018-01-01,1
119,1,DanDan Rucker,Their Tire shop never answers the phone. Guess they have enough business,2017-01-01,1
120,4,Otniel Radu,Pretty good!,2017-01-01,1
121,1,Marcio Cavalheiro,Very poor attendee,2016-01-01,1
122,5,Joe K,Get prices can be better,2017-01-01,1
123,5,Eric Lin,nice wholesale club,2017-01-01,1
124,5,michel garcia,Best place,2016-01-01,1
125,5,TANIA PRADO,"(Translated by Google) Very good place where you can buy several products in bulk. There is a choice and there is always a variety with affordable prices, including membership, as well as its various discount coupons.

(Original)
Muy buen …",2020-01-01,1
126,5,khaled alahmad,"(Translated by Google) A very huge store that contains discounts and discounts for all goods, such as cleaning materials, clothing, canned food, fresh, electronics and household items, suitable for students and long-term residents because …",2018-01-01,1
127,5,Myriam Carreño,"(Translated by Google) It is a good supermarket; that it has a wide assortment of vegetables and fruits; also variety of other products and a small fast food buffet.

(Original)
Es un buen supermercado; que tiene surtido amplio de vegetales y frutas; también variedad de otros productos y un pequeño bufé de comida rápida.",2018-01-01,1
128,5,Claribel Martinez,"(Translated by Google) Because you find a variety of products and the attention in the boxes is very efficient

(Original)
Xq encuentras variedad de productos y la atención en las cajas es muy eficiente",2019-01-01,1
129,5,Jose Paniagua,"(Translated by Google) BJ's is a good place where you can find good deals almost every day

(Original)
BJ's es un buen lugar donde se encuentra de todo buenas ofertas casi todos los días",2018-01-01,1
130,4,Derek Yeung,"(Translated by Google) Very good, but limited to members.

(Original)
很好，但限於会员。",2019-01-01,1
131,5,Mauro Ferreira,"(Translated by Google) Perfect in everything

(Original)
Perfeito em tudo",2018-01-01,1
132,5,Samuel Orellana,"(Translated by Google) Low prices !!

(Original)
Bajos precios!!",2019-01-01,1
133,5,Magloire Kwasi,"(Translated by Google) Excellent

(Original)
Excellent",2019-01-01,1
134,1,Abe Belrhalia,"(Translated by Google) Revere Ma

(Original)
Revere Ma",2019-01-01,1
135,4,Ana Chacon,"(Translated by Google) Excellent

(Original)
Exelente",2018-01-01,1
136,5,宮雪华,"(Translated by Google) Very full of things

(Original)
东西很全",2019-01-01,1
137,2,yy m,"(Translated by Google) Things are very cheap

(Original)
东西很便宜",2018-01-01,1
138,5,Vanessa Escobar,"(Translated by Google) Excellent

(Original)
Excelente",2018-01-01,1
139,4,Jubara AlRaiky,"(Translated by Google) The prices are suitable and the options are great.

(Original)
الأسعار مناسبة و الخيارات كبيرة.",2016-01-01,1
140,2,"Prof. Juan R Avila, PhD",,2020-01-01,1
141,5,Bhawani Acharya,,2018-01-01,1
142,5,Samir Ahmic,,2019-01-01,1
143,5,Paulo Cabral,,2019-01-01,1
144,5,David Taylor,,2019-01-01,1
145,5,Yasmin Aguilar,,2018-01-01,1
146,4,Heriberto Hernandez,,2016-01-01,1
147,3,Kattlyne Lajoie,,2018-01-01,1
148,4,Roselyn B,,2018-01-01,1
149,3,salum salum,,2018-01-01,1
150,5,John Cornelio,,2018-01-01,1
151,5,Sky's of The Travelers,,2019-01-01,1
152,4,Big Wil,,2019-01-01,1
153,4,Felipe Almeida,,2018-01-01,1
154,5,jyoti shinde,,2019-01-01,1
155,5,Donna lewin,,2020-06-01,1
156,5,Vinicio Schettine,,2019-01-01,1
157,5,Javier Perez,,2018-01-01,1
158,5,Jenny Romero,,2018-01-01,1
159,5,Dip Talukdar,,2019-01-01,1
160,5,\/\/ayne,,2014-01-01,1
161,5,Ricardo Jorcelin,,2018-01-01,1
162,5,Tanka Acharya,,2019-01-01,1
163,5,Estifnos Ourgessa,,2017-01-01,1
164,5,greg play,,2018-01-01,1
165,3,Cheryl Hurley,,2019-01-01,1
166,5,Angel Gonzalez,,2018-01-01,1
167,5,Michele bobato,,2019-01-01,1
168,5,ram das,,2018-01-01,1
169,5,sheealem1,,2019-01-01,1
170,4,Team DJLive,,2019-01-01,1
171,5,Kelinson Januário,,2018-01-01,1
172,4,pritam saini,,2018-01-01,1
173,5,Mileyrie Santell,,2021-01-01,1
174,5,Francisca Contreras,,2018-01-01,1
175,5,Joao Carreiro,,2018-01-01,1
176,5,Federico Pena,,2019-01-01,1
177,5,svetlana kresel,,2017-01-01,1
178,5,Michael J. Lowe II,,2019-01-01,1
179,5,Evandro Almeida,,2019-01-01,1
180,5,Sandra Louis,,2018-01-01,1
181,5,Wilcler Sathler,,2018-01-01,1
182,5,NL BC,,2020-08-01,1
183,4,Kelly Scott,,2015-01-01,1
184,4,Francisco Jerez,,2018-01-01,1
185,4,munna kumar,,2019-01-01,1
186,2,Norddine N.,,2018-01-01,1
187,4,Christine Gomes,,2018-01-01,1
188,4,Baratinhahd Henrique,,2018-01-01,1
189,4,annamaria mazza,,2019-01-01,1
190,4,Peter Phan,,2019-01-01,1
191,5,Zeke Schmois,,2017-01-01,1
192,5,Nat Cabán,,2019-01-01,1
193,4,Mario Rodrigues,,2018-01-01,1
194,5,Amado Garcia,,2018-01-01,1
195,5,Carolyn Jones,,2018-01-01,1
196,3,Christopher Adamson,,2018-01-01,1
197,5,Lucas Correa,,2018-01-01,1
198,5,Ashutosh Sharma,,2018-01-01,1
199,3,Julian Zapata,,2018-01-01,1
200,4,Marcos Rodriguez,,2018-01-01,1
201,5,Carolina Rodriguez,,2013-01-01,1
202,5,SERTOGAME,,2018-01-01,1
203,3,Hassan Boughroum,,2018-01-01,1
204,3,Angeliki Brouard,,2018-01-01,1
205,5,Francisco Calderon,,2019-01-01,1
206,1,Joel Neves,,2018-01-01,1
207,5,Alexis Cocozaki,,2018-01-01,1
208,3,danita brooks,,2019-01-01,1
209,4,Icylyn Whittaker,,2018-01-01,1
210,5,Elizabeth Ducasse,,2019-01-01,1
211,5,Melissa GC,,2019-01-01,1
212,4,Jonathan Yu Chi Yip,,2016-01-01,1
213,4,Damean Simpson,,2017-01-01,1
214,4,Carmelo Cortes,,2016-01-01,1
215,4,Cleidson Silva,,2019-01-01,1
216,5,Lise Constant,,2018-01-01,1
217,5,Derek Barnes,,2019-01-01,1
218,5,Татьяна Светецкая,,2016-01-01,1
219,5,king Jerry,,2018-01-01,1
220,5,John Cinkala,,2019-01-01,1
221,5,Benito Figueroa,,2018-01-01,1
222,5,Noura Alkoori,,2018-01-01,1
223,2,Zulma López,,2018-01-01,1
224,4,Valmeek Kudesia,,2017-01-01,1
225,5,Jeferson DeOliveira,,2019-01-01,1
226,5,Patti Giangregorio,,2020-01-01,1
227,5,Borelle St.Aubain,,2019-01-01,1
228,5,Reyjad Douyon,,2018-01-01,1
229,5,Jose Chacon,,2018-01-01,1
230,5,Ryan Figueroa,,2018-01-01,1
231,4,Amourah Durrant,,2018-01-01,1
232,4,Rafael Amaro,,2017-01-01,1
233,2,Patrick F,,2018-01-01,1
234,5,Anderson Lozer,,2019-01-01,1
235,4,Tiffany Pegues,,2019-01-01,1
236,5,Jean Seguin Mentor,,2019-01-01,1
237,4,Joanne Exilus,,2018-01-01,1
238,5,Maura huezo,,2017-01-01,1
239,5,charles Fino,,2019-01-01,1
240,4,lion lion,,2018-01-01,1
241,4,Gary Decker,,2016-01-01,1
242,5,PATRICIA ADAMSON,,2018-01-01,1
243,1,Dayna Pizarro,,2018-01-01,1
244,5,Adriana Denardi,,2016-01-01,1
245,4,Savannah Lodge-Scharff,,2018-01-01,1
246,5,Ricardo Costa,,2019-01-01,1
247,5,Preciousrock82,,2019-01-01,1
248,5,Selim Firat,,2018-01-01,1
249,5,Emma Zhu,,2018-01-01,1
250,5,Dayana Alicea-Lorenzo,,2020-05-01,1
251,5,Borelle St Aubain,,2019-01-01,1
252,5,Lorena Munoz Torres,,2020-05-01,1
253,5,Maria Terezinha Magnago,,2020-05-01,1
254,5,Nicole Marotta,,2019-01-01,1
255,5,Ana Barroso,,2019-01-01,1
256,5,Kiran Khadka,,2018-01-01,1
257,5,Md Omar Khan,,2018-01-01,1
258,5,Tara Petrovic,,2019-01-01,1
259,5,Maria Barrientos,,2018-01-01,1
260,5,Vincenzo Di Filippo,,2019-01-01,1
261,5,Augustine Egbe,,2018-01-01,1
262,5,Michael Binari,,2018-01-01,1
263,5,Bruce Papst,,2019-01-01,1
264,5,Santiago leiva,,2019-01-01,1
265,4,Salma Melendez,,2019-01-01,1
266,5,Frantz Douyon,,2018-01-01,1
267,5,Jerry Smith,,2018-01-01,1
268,5,hector Ramirez,,2019-01-01,1
269,5,Ana Milagro Umana,,2018-01-01,1
270,4,Tiffany Horne,,2018-01-01,1
271,5,Stanley Nova,,2018-01-01,1
272,5,Brenda Stephenson,,2019-01-01,1
273,5,Rudy Reyes,,2020-05-01,1
274,4,Margarita Oorzhak,,2019-01-01,1
275,5,Dee Ellison,,2018-01-01,1
276,5,Izaene Santiago Pereira,,2018-01-01,1
277,4,Hananel H,,2021-01-01,1
278,5,Tania Amaya,,2019-01-01,1
279,3,Maria Elisabel Reyes Valdez,,2018-01-01,1
280,4,Norma Johnson,,2018-01-01,1
281,4,Robert Rosenthal,,2019-01-01,1
282,3,Clayton,,2018-01-01,1
283,4,Narendra Prajapati,,2019-01-01,1
284,5,lin arhin,,2019-01-01,1
285,4,Francisco Lugo,,2019-01-01,1
286,4,Dori Dorne,,2018-01-01,1
287,3,Gyverna Ovilma,,2018-01-01,1
288,5,Gui Louissaint,,2018-01-01,1
289,5,Viral Patel,,2019-01-01,1
290,1,Ronald Buchholz,,2019-01-01,1
291,4,Edward Eccles,,2018-01-01,1
292,4,Julio Canas,,2019-01-01,1
293,5,JO V,,2016-01-01,1
294,5,Roblox Anime,,2019-01-01,1
295,5,Eske Defi,,2017-01-01,1
296,5,Jose Fco Gomez Mejia,,2018-01-01,1
297,5,Edward Crane,,2018-01-01,1
298,4,Juan C.,,2018-01-01,1
299,5,Zenobio Florez,,2019-01-01,1
300,5,Nick Benik,,2017-01-01,1
301,4,Jack Chau,,2017-01-01,1
302,5,Eder Leandro,,2019-01-01,1
303,5,Bui Tony,,2021-04-01,1
304,5,Mara Fane,,2019-01-01,1
305,5,L. Tllz,,2019-01-01,1
306,5,Ruben Pena,,2019-01-01,1
307,5,Wawa Bel afer,,2018-01-01,1
308,4,Venkat G,,2016-01-01,1
309,4,simon bolivar,,2018-01-01,1
310,5,Stesy Jeanlouis,,2019-01-01,1
311,4,Edghord Leconte,,2019-01-01,1
312,4,Lars Ojukwu,,2018-01-01,1
313,5,Marina Garcia,,2018-01-01,1
314,5,brian cotter,,2019-01-01,1
315,2,Bloder Theresias,,2018-01-01,1
316,5,Susan Silvestre-Simko,,2016-01-01,1
317,5,Pallab Ghosh,,2018-01-01,1
318,5,Aamna Fatima,,2019-01-01,1
319,5,Sarita Pruitt,,2021-04-01,1
320,5,Ismail Alzahrani,,2016-01-01,1
321,5,Suzy Salamoun,,2018-01-01,1
322,5,Sandra Medina,,2021-02-01,1
323,4,Bryan West,,2017-01-01,1
324,5,Saravanan Mahendran,,2017-01-01,1
325,5,Keith Bellevue,,2018-01-01,1
326,5,Dircilene Rodrigues,,2018-01-01,1
327,5,Saurabh Narkhede,,2018-01-01,1
328,5,Esmeralda Gonzalez,,2019-01-01,1
329,3,Lilian,,2018-01-01,1
330,5,wil quevedo,,2019-01-01,1
331,2,Rabindra Rajbanshi,,2018-01-01,1
332,5,Luisa Murillo,,2018-01-01,1
333,1,Mireille Mua,,2018-01-01,1
334,5,Xavier Frantzyjabouin,,2018-01-01,1
335,4,Davis Le,,2019-01-01,1
336,5,JE Vsqz,,2019-01-01,1
337,5,Dannia Martinez,,2018-01-01,1
338,3,HUNG VIEN XU,,2020-10-01,1
339,4,Adam Berton,,2016-01-01,1
340,5,Melida Polanco,,2019-01-01,1
341,4,Shawn Porter,,2018-01-01,1
342,5,James LeBlanc,,2019-01-01,1
343,4,Marinez Da Silva,,2020-01-01,1
344,5,Billy Hughes,,2019-01-01,1
345,3,Jasmine Deleveaux,,2018-01-01,1
346,4,DH Han,,2018-01-01,1
347,5,Mohammed Khair Ul Ahsan,,2021-01-01,1
348,4,Steven Valcin,,2018-01-01,1
349,4,Nana Neicey and Fiona,,2018-01-01,1
350,5,Juliana Da Silva,,2019-01-01,1
351,5,Saidul Islam,,2016-01-01,1
352,5,Regina Alston,,2019-01-01,1
353,5,Jacson Rodrigues,,2018-01-01,1
354,5,Jessica Jibara,,2018-01-01,1
355,1,Job Req,Very badly managed club... Had a very bad recent experience.... if you are a colored person then they will treat you like a thief ...so watch out.... Good luck if you want to talk manger ....no  Covid related protocols implemented ....Randomly they follow some rules... Never dare to step into their restrooms ...,2021-03-01,2
356,4,Barbara Perez,"I always find something unexpected and unique at BJ'S, like this beautiful cactus.",2021-12-01,2
357,1,Jenny Jay Rapirap,Did not accept a return (unopened set of toothpastes) bought yesterday to replace/find a different flavour instead. Dissatisfied customer service since the person in the counter not even checked the receipt which just yesterday purchase before closing. NOT a customer friendly store unlike Costco.,2021-01-01,2
358,1,Eileen Heim,They have had renovations for weeks now and nothing in stock. The place is a complete chaotic mess. I was told it will be until the first of the year. Your members should be compensated for this high inconvenience. I understand you may be …,2020-11-01,2
359,1,Butch Hyde,Great Sale,2018-01-01,2
360,1,V P,"Woman not wearing mask, reported it to manager, manager walked away. Wouldnt say they enforce mask rules here.",2021-03-01,2
361,3,Richard Allen,"Best fastest checkout options un the area.  Get in and out fast 👍👍🤩🤩💥💥. Lots of self checkouts. And hand scanners 😃

Best Looking but WORST tasting baked goods in the area. Often stale tasting. Dry cakes. That's my verdict after many …",2020-11-01,2
362,1,Bhavy Shah,"Very bad service. They by mistake canceled my business account and then when I confronted them, they didn't have any ans. Even manager didn't help. They told me just to wait till issue is sorted out. Pathetic experience. Not renewing next year.",2021-12-01,2
363,1,Patty Snyder,I was buying Laromme Challah bread (2 pack) for years from BJs. I bought it yesterday 12/1/20 and cut off a piece. There was a chemical smell.  I tasted it and had to spit it out. It has a strong chemical taste.  Threw it all in the …,2021-12-01,2
364,4,Theresa Barber,Nice clean store but really crowded,2021-04-01,2
365,2,Andrew,"Website specifically designed so you cannot cancel membership auto-renewal, keeps sending error messages... how convenient for BJs",2020-10-01,2
366,5,Jody Kelderhouse,Excellent place like the fact that during this epidemic they are open and doing everything they can to avoid contact for everyone weather it be an employee or customer . Yes the lines to check out was long but also moved quickly and kept all involved safe.,2020-09-01,2
367,2,Brian Gleason,"Not enforcing mask mandate very well, shelves are not faced off, I had to get on my hands and knees to get the item I needed in the back of the bottom shelf of the cooler. Not a great experience today.",2020-11-01,2
368,2,Chrissy B,Shopping is decent. Unfortunately they stopped carrying the italian turkey sausage my family uses.I will never buy there gas again. Used it once to fill my tank and it cost me over $400.00 to fix it. Shope said it was garbage gas.,2020-06-01,2
