full,split,length,title,subtitle,date_published,text,date_scraped,rating,top_reviewer,helpful_reviewer,rating_count,name,review_count
"A
ArilisTOP REVIEWER
9 ratings7 reviews
December 14, 2020
Very good and easy process.
Helpful
04/07/2021 13:09:11
5","['A', 'ArilisTOP REVIEWER', '9 ratings7 reviews', 'December 14, 2020', 'Very good and easy process.', 'Helpful', '04/07/2021 13:09:11', '5']",8,ArilisTOP REVIEWER,9 ratings7 reviews,12/14/2020,Very good and easy process.,04/07/2021 13:09:11,5,1,0,9,Arilis,0
"D
Denise
4 ratings1 reviews
December 14, 2020
Great deal and honored easily!
Helpful
04/07/2021 13:09:11
5","['D', 'Denise', '4 ratings1 reviews', 'December 14, 2020', 'Great deal and honored easily!', 'Helpful', '04/07/2021 13:09:11', '5']",8,Denise,4 ratings1 reviews,12/14/2020,Great deal and honored easily!,04/07/2021 13:09:11,5,0,0,4,Denise,0
"H
HowardTOP REVIEWER
13 ratings12 reviews
December 14, 2020
Great price! Easy to use.
Helpful
04/07/2021 13:09:11
5","['H', 'HowardTOP REVIEWER', '13 ratings12 reviews', 'December 14, 2020', 'Great price! Easy to use.', 'Helpful', '04/07/2021 13:09:11', '5']",8,HowardTOP REVIEWER,13 ratings12 reviews,12/14/2020,Great price! Easy to use.,04/07/2021 13:09:11,5,1,0,13,Howard,0
"T
Theresa
6 ratings4 reviews
December 13, 2020
Great deal
Helpful
04/07/2021 13:09:11
5","['T', 'Theresa', '6 ratings4 reviews', 'December 13, 2020', 'Great deal', 'Helpful', '04/07/2021 13:09:11', '5']",8,Theresa,6 ratings4 reviews,12/13/2020,Great deal,04/07/2021 13:09:11,5,0,0,6,Theresa,0
"C
Ciello
7 ratings3 reviews
December 13, 2020
Good value for the membership definitely.
Helpful
04/07/2021 13:09:11
5","['C', 'Ciello', '7 ratings3 reviews', 'December 13, 2020', 'Good value for the membership definitely.', 'Helpful', '04/07/2021 13:09:11', '5']",8,Ciello,7 ratings3 reviews,12/13/2020,Good value for the membership definitely.,04/07/2021 13:09:11,5,0,0,7,Ciello,0
"I
India
1 ratings1 reviews
December 12, 2020
Everything was great except the card that prints out membership wasn't working, and I had to get someone to bring me up there and they can't even mail it to me. Other than that my experience with the cashier and staff was great
Helpful
04/07/2021 13:09:11
3","['I', 'India', '1 ratings1 reviews', 'December 12, 2020', ""Everything was great except the card that prints out membership wasn't working, and I had to get someone to bring me up there and they can't even mail it to me. Other than that my experience with the cashier and staff was great"", 'Helpful', '04/07/2021 13:09:11', '3']",8,India,1 ratings1 reviews,12/12/2020,"Everything was great except the card that prints out membership wasn't working, and I had to get someone to bring me up there and they can't even mail it to me. Other than that my experience with the cashier and staff was great",04/07/2021 13:09:11,3,0,0,1,India,0
"V
Valerie
2 ratings2 reviews
December 12, 2020
Very helpful customer service experience!
Helpful
04/07/2021 13:09:11
5","['V', 'Valerie', '2 ratings2 reviews', 'December 12, 2020', 'Very helpful customer service experience!', 'Helpful', '04/07/2021 13:09:11', '5']",8,Valerie,2 ratings2 reviews,12/12/2020,Very helpful customer service experience!,04/07/2021 13:09:11,5,0,0,2,Valerie,0
"B
Beverly
5 ratings4 reviews
December 12, 2020
Bought the BJ’s members Groupon. Went back a week later to print out the voucher to take to the store. It said expired, but was able to view voucher, then I accidentally touched redeemed, thinking it would take me to the page to print it out, but didn’t, now says redeemed across the barcode. Groupon never had on the BJ’s Groupon an expiration date before, when I bought it on Nov 29.
Helpful
04/07/2021 13:09:15
3","['B', 'Beverly', '5 ratings4 reviews', 'December 12, 2020', 'Bought the BJ’s members Groupon. Went back a week later to print out the voucher to take to the store. It said expired, but was able to view voucher, then I accidentally touched redeemed, thinking it would take me to the page to print it out, but didn’t, now says redeemed across the barcode. Groupon never had on the BJ’s Groupon an expiration date before, when I bought it on Nov 29.', 'Helpful', '04/07/2021 13:09:15', '3']",8,Beverly,5 ratings4 reviews,12/12/2020,"Bought the BJ’s members Groupon. Went back a week later to print out the voucher to take to the store. It said expired, but was able to view voucher, then I accidentally touched redeemed, thinking it would take me to the page to print it out, but didn’t, now says redeemed across the barcode. Groupon never had on the BJ’s Groupon an expiration date before, when I bought it on Nov 29.",04/07/2021 13:09:15,3,0,0,5,Beverly,0
"L
Lisa
2 ratings2 reviews
December 10, 2020
Wonderful
Helpful
04/07/2021 13:09:15
5","['L', 'Lisa', '2 ratings2 reviews', 'December 10, 2020', 'Wonderful', 'Helpful', '04/07/2021 13:09:15', '5']",8,Lisa,2 ratings2 reviews,12/10/2020,Wonderful,04/07/2021 13:09:15,5,0,0,2,Lisa,0
"A
Adonte
1 ratings1 reviews
December 9, 2020
Worked great played 20 bucks for a year and I'm moving sonit was a great buy
Helpful
04/07/2021 13:09:15
5","['A', 'Adonte', '1 ratings1 reviews', 'December 9, 2020', ""Worked great played 20 bucks for a year and I'm moving sonit was a great buy"", 'Helpful', '04/07/2021 13:09:15', '5']",8,Adonte,1 ratings1 reviews,12/09/2020,Worked great played 20 bucks for a year and I'm moving sonit was a great buy,04/07/2021 13:09:15,5,0,0,1,Adonte,0
"K
Kenisha
4 ratings4 reviews
December 8, 2020
Great price! I even got an extra card at BJs for my friend.
Helpful
04/07/2021 13:09:15
5","['K', 'Kenisha', '4 ratings4 reviews', 'December 8, 2020', 'Great price! I even got an extra card at BJs for my friend.', 'Helpful', '04/07/2021 13:09:15', '5']",8,Kenisha,4 ratings4 reviews,12/08/2020,Great price! I even got an extra card at BJs for my friend.,04/07/2021 13:09:15,5,0,0,4,Kenisha,0
"P
PattiTOP REVIEWER
9 ratings6 reviews
December 7, 2020
Great customer service!
Helpful
04/07/2021 13:09:15
5","['P', 'PattiTOP REVIEWER', '9 ratings6 reviews', 'December 7, 2020', 'Great customer service!', 'Helpful', '04/07/2021 13:09:15', '5']",8,PattiTOP REVIEWER,9 ratings6 reviews,12/07/2020,Great customer service!,04/07/2021 13:09:15,5,1,0,9,Patti,0
"K
Katie
1 ratings1 reviews
December 7, 2020
I never received membership.
Helpful
04/07/2021 13:09:15
1","['K', 'Katie', '1 ratings1 reviews', 'December 7, 2020', 'I never received membership.', 'Helpful', '04/07/2021 13:09:15', '1']",8,Katie,1 ratings1 reviews,12/07/2020,I never received membership.,04/07/2021 13:09:15,1,0,0,1,Katie,0
"J
Jael
1 ratings1 reviews
December 7, 2020
It was great.. Quick & easy
Helpful
04/07/2021 13:09:15
5","['J', 'Jael', '1 ratings1 reviews', 'December 7, 2020', 'It was great.. Quick & easy', 'Helpful', '04/07/2021 13:09:15', '5']",8,Jael,1 ratings1 reviews,12/07/2020,It was great.. Quick & easy,04/07/2021 13:09:15,5,0,0,1,Jael,0
"S
Savion
3 ratings2 reviews
December 7, 2020
The whole overall experience was great and I would definitely refer a friend
Helpful
04/07/2021 13:09:15
5","['S', 'Savion', '3 ratings2 reviews', 'December 7, 2020', 'The whole overall experience was great and I would definitely refer a friend', 'Helpful', '04/07/2021 13:09:15', '5']",8,Savion,3 ratings2 reviews,12/07/2020,The whole overall experience was great and I would definitely refer a friend,04/07/2021 13:09:15,5,0,0,3,Savion,0
"S
SandraTOP REVIEWER
36 ratings13 reviews
December 6, 2020
I bought it for my daughter and her fiancé for Christmas so I didn’t catch it had an early expiration date. My daughter was talking about them getting one so I ended up telling her and showing her the Groupon. It ended THAT DAY. LITERALLY IN ONE HOUR. We ran to BJs and an account was opened for her in seconds
Helpful
04/07/2021 13:09:15
5","['S', 'SandraTOP REVIEWER', '36 ratings13 reviews', 'December 6, 2020', 'I bought it for my daughter and her fiancé for Christmas so I didn’t catch it had an early expiration date. My daughter was talking about them getting one so I ended up telling her and showing her the Groupon. It ended THAT DAY. LITERALLY IN ONE HOUR. We ran to BJs and an account was opened for her in seconds', 'Helpful', '04/07/2021 13:09:15', '5']",8,SandraTOP REVIEWER,36 ratings13 reviews,12/06/2020,I bought it for my daughter and her fiancé for Christmas so I didn’t catch it had an early expiration date. My daughter was talking about them getting one so I ended up telling her and showing her the Groupon. It ended THAT DAY. LITERALLY IN ONE HOUR. We ran to BJs and an account was opened for her in seconds,04/07/2021 13:09:15,5,1,0,36,Sandra,0
"K
Keon
4 ratings4 reviews
December 6, 2020
Love bjs
Helpful
04/07/2021 13:09:15
5","['K', 'Keon', '4 ratings4 reviews', 'December 6, 2020', 'Love bjs', 'Helpful', '04/07/2021 13:09:15', '5']",8,Keon,4 ratings4 reviews,12/06/2020,Love bjs,04/07/2021 13:09:15,5,0,0,4,Keon,0
"D
Diana
4 ratings3 reviews
December 6, 2020
Fast & great customer service, got my ID card without any problems.
Helpful
04/07/2021 13:09:19
5","['D', 'Diana', '4 ratings3 reviews', 'December 6, 2020', 'Fast & great customer service, got my ID card without any problems.', 'Helpful', '04/07/2021 13:09:19', '5']",8,Diana,4 ratings3 reviews,12/06/2020,"Fast & great customer service, got my ID card without any problems.",04/07/2021 13:09:19,5,0,0,4,Diana,0
"D
DeborahTOP REVIEWER
11 ratings11 reviews
December 6, 2020
Quick and easy set up.
Helpful
04/07/2021 13:09:19
5","['D', 'DeborahTOP REVIEWER', '11 ratings11 reviews', 'December 6, 2020', 'Quick and easy set up.', 'Helpful', '04/07/2021 13:09:19', '5']",8,DeborahTOP REVIEWER,11 ratings11 reviews,12/06/2020,Quick and easy set up.,04/07/2021 13:09:19,5,1,0,11,Deborah,0
"T
TiffanyTOP REVIEWER
8 ratings6 reviews
December 5, 2020
It didn’t work I had to pay for a membership out of pocket when I got there. I purchased the grill on a November 14 and it expired on
Helpful
04/07/2021 13:09:19
1","['T', 'TiffanyTOP REVIEWER', '8 ratings6 reviews', 'December 5, 2020', 'It didn’t work I had to pay for a membership out of pocket when I got there. I purchased the grill on a November 14 and it expired on', 'Helpful', '04/07/2021 13:09:19', '1']",8,TiffanyTOP REVIEWER,8 ratings6 reviews,12/05/2020,It didn’t work I had to pay for a membership out of pocket when I got there. I purchased the grill on a November 14 and it expired on,04/07/2021 13:09:19,1,1,0,8,Tiffany,0
"S
Selvin
3 ratings1 reviews
December 5, 2020
Quick and awesome saving!
Helpful
04/07/2021 13:09:19
5","['S', 'Selvin', '3 ratings1 reviews', 'December 5, 2020', 'Quick and awesome saving!', 'Helpful', '04/07/2021 13:09:19', '5']",8,Selvin,3 ratings1 reviews,12/05/2020,Quick and awesome saving!,04/07/2021 13:09:19,5,0,0,3,Selvin,0
"J
Joe
12 ratings1 reviews
December 5, 2020
Friendly people activated my membership easily.
Helpful
04/07/2021 13:09:19
5","['J', 'Joe', '12 ratings1 reviews', 'December 5, 2020', 'Friendly people activated my membership easily.', 'Helpful', '04/07/2021 13:09:19', '5']",8,Joe,12 ratings1 reviews,12/05/2020,Friendly people activated my membership easily.,04/07/2021 13:09:19,5,0,0,12,Joe,0
"C
ChrisTOP REVIEWER
5 ratings6 reviews
December 5, 2020
Line to check out was really long
Helpful
04/07/2021 13:09:19
4","['C', 'ChrisTOP REVIEWER', '5 ratings6 reviews', 'December 5, 2020', 'Line to check out was really long', 'Helpful', '04/07/2021 13:09:19', '4']",8,ChrisTOP REVIEWER,5 ratings6 reviews,12/05/2020,Line to check out was really long,04/07/2021 13:09:19,4,1,0,5,Chris,0
"J
Jacqueline
2 ratings1 reviews
December 4, 2020
Customer service was great. Speedy process.
Helpful
04/07/2021 13:09:19
5","['J', 'Jacqueline', '2 ratings1 reviews', 'December 4, 2020', 'Customer service was great. Speedy process.', 'Helpful', '04/07/2021 13:09:19', '5']",8,Jacqueline,2 ratings1 reviews,12/04/2020,Customer service was great. Speedy process.,04/07/2021 13:09:19,5,0,0,2,Jacqueline,0
"G
Guest
1 ratings1 reviews
December 4, 2020
Great next desk staff
Helpful
04/07/2021 13:09:19
5","['G', 'Guest', '1 ratings1 reviews', 'December 4, 2020', 'Great next desk staff', 'Helpful', '04/07/2021 13:09:19', '5']",8,Guest,1 ratings1 reviews,12/04/2020,Great next desk staff,04/07/2021 13:09:19,5,0,0,1,Guest,0
"D
Daniel
1 ratings1 reviews
December 4, 2020
Employees with pulled down masks, not the cleanest place either. I won't be back. I would like a refund and withdrawal from the club.
Helpful
04/07/2021 13:09:19
2","['D', 'Daniel', '1 ratings1 reviews', 'December 4, 2020', ""Employees with pulled down masks, not the cleanest place either. I won't be back. I would like a refund and withdrawal from the club."", 'Helpful', '04/07/2021 13:09:19', '2']",8,Daniel,1 ratings1 reviews,12/04/2020,"Employees with pulled down masks, not the cleanest place either. I won't be back. I would like a refund and withdrawal from the club.",04/07/2021 13:09:19,2,0,0,1,Daniel,0
"R
Rebecca
1 ratings1 reviews
December 4, 2020
Customer service was great and it only took a few minutes to get things set up
Helpful
04/07/2021 13:09:19
5","['R', 'Rebecca', '1 ratings1 reviews', 'December 4, 2020', 'Customer service was great and it only took a few minutes to get things set up', 'Helpful', '04/07/2021 13:09:19', '5']",8,Rebecca,1 ratings1 reviews,12/04/2020,Customer service was great and it only took a few minutes to get things set up,04/07/2021 13:09:19,5,0,0,1,Rebecca,0
"C
Carol
1 ratings1 reviews
December 4, 2020
It came expired after I purchased it. I want my money back.
Helpful
04/07/2021 13:09:22
1","['C', 'Carol', '1 ratings1 reviews', 'December 4, 2020', 'It came expired after I purchased it. I want my money back.', 'Helpful', '04/07/2021 13:09:22', '1']",8,Carol,1 ratings1 reviews,12/04/2020,It came expired after I purchased it. I want my money back.,04/07/2021 13:09:22,1,0,0,1,Carol,0
"S
SharnaTOP REVIEWERHELPFUL REVIEWER
35 ratings23 reviews
December 4, 2020
Nice and professional
Helpful
04/07/2021 13:09:22
5","['S', 'SharnaTOP REVIEWERHELPFUL REVIEWER', '35 ratings23 reviews', 'December 4, 2020', 'Nice and professional', 'Helpful', '04/07/2021 13:09:22', '5']",8,SharnaTOP REVIEWERHELPFUL REVIEWER,35 ratings23 reviews,12/04/2020,Nice and professional,04/07/2021 13:09:22,5,1,1,35,Sharna,0
"C
Carmen
6 ratings2 reviews
December 4, 2020
Love this store!!! Some items are pricey, but overall, I am satisfied!
Helpful
04/07/2021 13:09:22
5","['C', 'Carmen', '6 ratings2 reviews', 'December 4, 2020', 'Love this store!!! Some items are pricey, but overall, I am satisfied!', 'Helpful', '04/07/2021 13:09:22', '5']",8,Carmen,6 ratings2 reviews,12/04/2020,"Love this store!!! Some items are pricey, but overall, I am satisfied!",04/07/2021 13:09:22,5,0,0,6,Carmen,0
"M
MaryTOP REVIEWER
26 ratings21 reviews
December 4, 2020
I'm so happy, great staff and prices.
Helpful
04/07/2021 13:09:22
5","['M', 'MaryTOP REVIEWER', '26 ratings21 reviews', 'December 4, 2020', ""I'm so happy, great staff and prices."", 'Helpful', '04/07/2021 13:09:22', '5']",8,MaryTOP REVIEWER,26 ratings21 reviews,12/04/2020,"I'm so happy, great staff and prices.",04/07/2021 13:09:22,5,1,0,26,Mary,0
"K
KathleenTOP REVIEWER
14 ratings12 reviews
December 4, 2020
I never received my order! The concierge reported that my order arrived but the driver ignored the clear and explicit instructions I had attached to leave it on the shelving in the lobby that was there for this very purpose and, instead, left the premises with me order.
Helpful
04/07/2021 13:09:22
1","['K', 'KathleenTOP REVIEWER', '14 ratings12 reviews', 'December 4, 2020', 'I never received my order! The concierge reported that my order arrived but the driver ignored the clear and explicit instructions I had attached to leave it on the shelving in the lobby that was there for this very purpose and, instead, left the premises with me order.', 'Helpful', '04/07/2021 13:09:22', '1']",8,KathleenTOP REVIEWER,14 ratings12 reviews,12/04/2020,"I never received my order! The concierge reported that my order arrived but the driver ignored the clear and explicit instructions I had attached to leave it on the shelving in the lobby that was there for this very purpose and, instead, left the premises with me order.",04/07/2021 13:09:22,1,1,0,14,Kathleen,0
"N
Nya
2 ratings1 reviews
December 4, 2020
Sams is better.... really over priced
Helpful
04/07/2021 13:09:22
1","['N', 'Nya', '2 ratings1 reviews', 'December 4, 2020', 'Sams is better.... really over priced', 'Helpful', '04/07/2021 13:09:22', '1']",8,Nya,2 ratings1 reviews,12/04/2020,Sams is better.... really over priced,04/07/2021 13:09:22,1,0,0,2,Nya,0
